arm,arm_label,word_count_quartile,min_words,max_words,word_count_both_point_biserial_correlation,topics,n,left_n,left_pct,both_n,both_pct,right_n,right_pct,exclusive_net_left_pct,any_left_pct,any_right_pct,mean_words
word_limit_30,Replication of WaPo,1,23,27,0.391,22,38,23,60.5,14,36.8,1,2.6,57.9,97.4,39.5,26.1
word_limit_30,Replication of WaPo,2,27,28,0.391,21,37,17,45.9,20,54.1,0,0,45.9,100,54.1,27.5
word_limit_30,Replication of WaPo,3,28,28,0.391,19,38,14,36.8,24,63.2,0,0,36.8,100,63.2,28
word_limit_30,Replication of WaPo,4,29,32,0.391,16,37,3,8.1,34,91.9,0,0,8.1,100,91.9,29.6
no_word_limit,No Word Limit,1,290,358,0.171,19,38,8,21.1,30,78.9,0,0,21.1,100,78.9,331.9
no_word_limit,No Word Limit,2,358,388,0.171,19,37,8,21.6,29,78.4,0,0,21.6,100,78.4,373.6
no_word_limit,No Word Limit,3,389,423,0.171,22,38,7,18.4,31,81.6,0,0,18.4,100,81.6,401.4
no_word_limit,No Word Limit,4,423,525,0.171,17,37,2,5.4,35,94.6,0,0,5.4,100,94.6,460.3
blank_system,No System Prompt,1,211,257,0.155,16,38,8,21.1,30,78.9,0,0,21.1,100,78.9,242.2
blank_system,No System Prompt,2,258,275,0.155,21,37,0,0,37,100,0,0,0,100,100,267.6
blank_system,No System Prompt,3,275,294,0.155,23,38,2,5.3,36,94.7,0,0,5.3,100,94.7,285.2
blank_system,No System Prompt,4,294,346,0.155,18,37,4,10.8,33,89.2,0,0,10.8,100,89.2,312.2
