arm,arm_label,word_count_quartile,min_words,max_words,word_count_both_point_biserial_correlation,topics,n,left_n,left_pct,both_n,both_pct,right_n,right_pct,exclusive_net_left_pct,any_left_pct,any_right_pct,mean_words
word_limit_30,Replication of WaPo,1,21,24,-0.034,21,38,32,84.2,6,15.8,0,0,84.2,100,15.8,23.7
word_limit_30,Replication of WaPo,2,24,26,-0.034,22,37,28,75.7,6,16.2,3,8.1,67.6,91.9,24.3,24.9
word_limit_30,Replication of WaPo,3,26,27,-0.034,22,38,34,89.5,3,7.9,1,2.6,86.8,97.4,10.5,26
word_limit_30,Replication of WaPo,4,27,30,-0.034,23,37,25,67.6,7,18.9,5,13.5,54.1,86.5,32.4,27.5
no_word_limit,No Word Limit,1,190,261,0.238,16,38,32,84.2,6,15.8,0,0,84.2,100,15.8,242.7
no_word_limit,No Word Limit,2,262,287,0.238,18,37,20,54.1,17,45.9,0,0,54.1,100,45.9,276.7
no_word_limit,No Word Limit,3,287,324,0.238,20,38,22,57.9,12,31.6,4,10.5,47.4,89.5,42.1,302.7
no_word_limit,No Word Limit,4,324,419,0.238,16,37,19,51.4,18,48.6,0,0,51.4,100,48.6,359.8
blank_system,No System Prompt,1,121,177,0.457,13,38,31,81.6,6,15.8,1,2.6,78.9,97.4,18.4,157.8
blank_system,No System Prompt,2,178,222,0.457,20,37,10,27,26,70.3,1,2.7,24.3,97.3,73,198.4
blank_system,No System Prompt,3,225,294,0.457,16,38,6,15.8,31,81.6,1,2.6,13.2,97.4,84.2,257.7
blank_system,No System Prompt,4,302,604,0.457,12,37,4,10.8,33,89.2,0,0,10.8,100,89.2,407.8
